id;character;meaning;on;kun
1636;鯉;Carp;り;こい
1637;錦;Brocade;きん;にしき
1638;搭;Board;とう;None
1639;胡;Barbarian;こ, う, ご;なんぞ
1640;随;All;ずい;したが, まにま
1641;諭;Admonish;ゆ;さと
1642;遇;Treatment;ぐう;あ
1643;膨;Swell;ぼう;ふく
1644;慢;Ridicule;まん;None
1645;颯;Quick;さつ, そう;さっ
1646;糧;Provisions;りょう, ろう;かて
1647;貫;Pierce;かん;つらぬ, ぬき, ぬ
1648;芳;Perfume;ほう;かんば
1649;孤;Orphan;こ;None
1650;秩;Order;ちつ;None
1651;牲;Offering;せい;None
1652;須;Necessary;す, しゅ;すべから, すべし, ひげ, まつ, もち, もと
1653;覇;Leadership;は, はく;はたがしら
1654;怠;Lazy;たい;おこた, なま
1655;惰;Lazy;だ;None
1656;唆;Instigate;さ;そそのか, そそ
1657;猟;Hunting;りょう, れふ;かり, か
1658;輔;Help;ふ, ほ;たす
1659;乃;From;ない;すなわ, なんじ, の
1660;隼;Falcon;しゅん, じゅん;はやぶさ
1661;陳;Exhibit;ちん;ひ
1662;倫;Ethics;りん;None
1663;殊;Especially;しゅ;こと
1664;噴;Erupt;ふん;ふ
1665;遭;Encounter;そう;あ
1666;擁;Embrace;よう;None
1667;没;Die;ぼつ, もつ;おぼ, しず, ない
1668;綾;Design;りん;あや
1669;恒;Constant;こう;つね, つねに
1670;賠;Compensation;ばい;None
1671;鎖;Chain;さ;くさり, とざ
1672;陥;Cave In;かん;おちい, おとしい
1673;茨;Briar;し, じ;いばら
1674;偏;Biased;へん;かたよ
1675;呂;Bath;ろ, りょ;せぼね
1676;祥;Auspicious;しょう;きざ, さいわ, つまび, よ
1677;枯;Wither;こ;か
1678;聡;Wise;そう;さと, みみざと
1679;渦;Whirlpool;か;うず
1680;濯;Wash;たく;すす, ゆす, そそぐ
1681;頂;Summit;ちょう;いただき, いただ
1682;郊;Suburbs;こう;None
1683;軟;Soft;なん;やわ
1684;膚;Skin;ふ;はだ
1685;隻;Ship Counter;せき;None
1686;苗;Seedling;みょう, びょう;なえ, なわ
1687;喚;Scream;かん;わめ
1688;邸;Residence;てい;やしき
1689;媛;Princess;えん;ひめ
1690;耕;Plow;こう;たがや
1691;肪;Obese;ぼう;None
1692;玄;Mysterious;げん;くろ
1693;塚;Mound;ちょう;つか
1694;慈;Mercy;じ;いつく
1695;蓮;Lotus;れん;はす, はちす
1696;軒;House Counter;けん;のき
1697;偉;Greatness;い;えら
1698;脂;Fat;し;あぶら
1699;釈;Explanation;しゃく, せき;す, とく, ゆる
1700;燥;Dry Up;そう;はしゃ
1701;郡;County;ぐん;こおり
1702;隅;Corner;ぐう;すみ
1703;襟;Collar;きん;えり
1704;亮;Clear;りょう;あきらか
1705;貞;Chastity;てい;さだ
1706;召;Call;しょう;め
1707;瓶;Bottle;びん;かめ
1708;沸;Boil;ふつ;わ
1709;挟;Between;きょう, しょう;はさ
1710;浦;Bay;ほ;うら
1711;肯;Agreement;こう;がえんじ
1712;歌;Song;か;うた
1713;横;Side;おう;よこ
1714;病;Sick;びょう;や, やまい
1715;路;Road;ろ;じ, みち
1716;転;Revolve;てん;ころ
1717;求;Request;きゅう;もと
1718;読;Read;とう, どく;よ
1719;親;Parent;しん;おや, した
1720;開;Open;かい;あ, ひら
1721;最;Most;さい;もっと
1722;線;Line;せん;None
1723;軽;Lightweight;けい;かる, かろ
1724;習;Learn;しゅう;なら
1725;葉;Leaf;よう;は, ば
1726;語;Language;ご;かた
1727;鉄;Iron;てつ;None
1728;調;Investigate;ちょう;しら
1729;院;Institution;いん;None
1730;聞;Hear;ぶん, もん;き
1731;頭;Head;ず, とう;あたま
1732;速;Fast;そく;はや
1733;農;Farming;のう;None
1734;落;Fall;らく;お
1735;顔;Face;がん;かお
1736;終;End;しゅう;おわ, お
1737;飲;Drink;いん;の
1738;配;Distribute;はい;くば
1739;集;Collect;しゅう;あつ
1740;鳴;Chirp;めい;な
1741;漢;Chinese;かん;None
1742;運;Carry;うん;はこ
1743;算;Calculate;さん;そろ
1744;業;Business;ぎょう;None
1745;始;Begin;し;はじ
1746;酒;Alcohol;しゅ;さけ, さか
1747;進;Advance;しん;すす
1748;界;World;かい;None
1749;勝;Win;しょう;か
1750;使;Use;し;つか
1751;試;Try;し;こころ, ため
1752;実;Truth;じつ;み
1753;具;Tool;ぐ;None
1754;物;Thing;ぶつ, もつ;もの
1755;験;Test;けん;ため, ためし
1756;仮;Temporary;か;かり
1757;泳;Swim;えい;およ
1758;苦;Suffering;く;くる, にが
1759;送;Send;そう;おく
1760;売;Sell;ばい;う
1761;屋;Roof;おく;や
1762;乗;Ride;じょう;の
1763;返;Return;へん;かえ
1764;保;Preserve;ほ;たも
1765;県;Prefecture;けん;None
1766;和;Peace;わ, お;なご, やわ
1767;部;Part;ぶ;へ
1768;新;New;しん;あたら, あら, にい
1769;要;Need;よう;い, かなめ
1770;相;Mutual;そう, しょう;あい
1771;負;Lose;ふ;ま, お
1772;持;Hold;じ;も
1773;重;Heavy;じゅう, ちょう;おも, かさ, え
1774;客;Guest;きゃく;None
1775;表;Express;ひょう;あらわ, おもて
1776;談;Discuss;だん;None
1777;定;Determine;てい, じょう;さだ
1778;発;Departure;はつ;None
1779;度;Degrees;ど, たく;たび
1780;服;Clothes;ふく;None
1781;予;Beforehand;よ;あらかじ
1782;美;Beauty;び, み;うつく
1783;事;Action;じ;こと, つか
1784;受;Accept;じゅ;う
1785;対;Versus;たい;None
1786;投;Throw;とう;な
1787;話;Talk;わ;はな, はなし
1788;支;Support;し;ささ
1789;者;Someone;しゃ;もの
1790;身;Somebody;しん;み
1791;研;Sharpen;けん;と
1792;役;Service;やく;None
1793;道;Road;どう;みち
1794;究;Research;きゅう;きわ
1795;池;Pond;ち;いけ
1796;所;Place;しょ;ところ
1797;番;Number In A Series;ばん;None
1798;朝;Morning;ちょう;あさ
1799;医;Medicine;い;None
1800;場;Location;じょう;ば
1801;間;Interval;かん, けん;あいだ, ま
1802;馬;Horse;ば;うま
1803;助;Help;じょ;たす, すけ
1804;森;Forest;しん;もり
1805;電;Electricity;でん;None
1806;住;Dwelling;じゅう;す
1807;絵;Drawing;え;None
1808;決;Decide;けつ;き
1809;数;Count;すう;かぞ, かず
1810;楽;Comfort;らく, がく;たの
1811;雲;Cloud;うん;くも
1812;買;Buy;ばい;か
1813;局;Bureau;きょく;None
1814;君;Buddy;くん;きみ
1815;反;Anti;はん;None
1816;答;Answer;とう;こた
1817;黄;Yellow;おう;き
1818;記;Write Down;き;しる
1819;風;Wind;ふう, ふ;かぜ
1820;週;Week;しゅう;None
1821;弱;Weak;じゃく;よわ
1822;時;Time;じ;とき
1823;教;Teach;きょう;おし, おそ
1824;高;Tall;こう;たか
1825;夏;Summer;げ, か, が;なつ
1826;強;Strong;きょう;つよ
1827;雪;Snow;せつ;ゆき
1828;校;School;こう;None
1829;由;Reason;ゆう;よし, よ
1830;理;Reason;り;ことわり
1831;民;Peoples;みん;たみ
1832;通;Pass Through;つう;とお, かよ
1833;紙;Paper;し;かみ
1834;未;Not Yet;み;ま, いま, ひつじ
1835;欠;Lack;けつ;か
1836;家;House;か, け;いえ, や, うち
1837;組;Group;そ;くみ
1838;以;From;い;None
1839;魚;Fish;ぎょ;さかな
1840;失;Fault;しつ;うしな
1841;氏;Family Name;し;うじ
1842;末;End;まつ;すえ
1843;必;Certain;ひつ;かなら
1844;船;Boat;せん;ふね
1845;黒;Black;こく;くろ
1846;鳥;Bird;ちょう;とり
1847;札;Bill;さつ;ふだ
1848;付;Attach;ふ;つ
1849;辺;Area;へん;あた, べ
1850;妹;Younger Sister;まい;いもうと
1851;向;Yonder;こう;む
1852;歩;Walk;ほ;ある, あゆ
1853;思;Think;し;おも
1854;茶;Tea;ちゃ, さ;None
1855;州;State;しゅう;None
1856;星;Star;せい;ほし
1857;南;South;なん;みなみ
1858;店;Shop;てん;みせ
1859;羊;Sheep;よう;ひつじ
1860;海;Sea;かい;うみ
1861;室;Room;しつ;None
1862;安;Relax;あん;やす
1863;点;Point;てん;つ
1864;姉;Older Sister;し;お, あね, ねえ
1865;夜;Night;や;よ, よる
1866;次;Next;じ;つぎ
1867;首;Neck;しゅ;くび
1868;曲;Music;きょく;ま
1869;長;Long;ちょう;なが
1870;活;Lively;かつ;い
1871;知;Know;ち;し
1872;私;I;し;わたし
1873;有;Have;ゆう, う;あ
1874;前;Front;ぜん;まえ
1875;直;Fix;ちょく, じき;なお
1876;食;Eat;しょく;た, く
1877;東;East;とう;ひがし
1878;地;Earth;ち, じ;None
1879;画;Drawing;が, かく;None
1880;死;Death;し;し
1881;亡;Death;ぼう;な
1882;科;Course;か;None
1883;国;Country;こく;くに
1884;化;Change;か;ば
1885;京;Capital;きょう;みやこ
1886;明;Bright;めい;あ, あか, あき
1887;両;Both;りょう;None
1888;血;Blood;けつ;ち
1889;後;Behind;ご, こう;うし, あと, のち
1890;全;All;ぜん;すべ, まった
1891;弟;Younger Brother;だい, で, てい;おとうと
1892;麦;Wheat;ばく;むぎ
1893;何;What;か;なに, なん
1894;西;West;せい, さい;にし
1895;声;Voice;せい;こえ
1896;谷;Valley;こく;たに
1897;回;Times;かい;まわ
1898;考;Think;こう;かんが
1899;光;Sunlight;こう;ひかり, ひか
1900;学;Study;がく;まな
1901;音;Sound;おん;おと, ね
1902;空;Sky;くう;そら, あ, から, す
1903;皮;Skin;ひ;かわ
1904;形;Shape;けい, ぎょう;かた, かたち
1905;自;Self;じ, し;None
1906;言;Say;げん, ごん;い, こと
1907;同;Same;どう;おな
1908;走;Run;そう;はし
1909;米;Rice;べい, まい;こめ
1910;雨;Rain;う;あめ, あま
1911;兄;Older Brother;きょう;あに
1912;近;Near;きん, こん;ちか
1913;交;Mix;こう;まじ, ま, か
1914;会;Meet;かい;あ
1915;肉;Meat;にく;None
1916;多;Many;た;おお
1917;作;Make;さく, さ;つく
1918;里;Home Village;り;さと
1919;草;Grass;そう;くさ
1920;金;Gold;きん;かね
1921;行;Go;こう, ぎょう;い, おこな, ゆ
1922;林;Forest;りん;はやし
1923;羽;Feather;う;はね, は, わ
1924;毎;Every;まい;ごと
1925;図;Diagram;ず, と;え, はか
1926;当;Correct;とう;あ
1927;社;Company;しゃ;やしろ
1928;来;Come;らい;く
1929;色;Color;しき, しょく;いろ
1930;体;Body;たい;からだ
1931;青;Blue;せい, しょう;あお
1932;斤;Axe;きん;None
1933;角;Angle;かく;かど, つの
1934;年;Year;ねん;とし
1935;世;World;せ, せい;よ
1936;村;Village;そん;むら
1937;宝;Treasure;ほう;たから
1938;町;Town;ちょう;まち
1939;糸;Thread;し;いと
1940;礼;Thanks;れい;None
1941;代;Substitute;だい;か, かわ, しろ
1942;石;Stone;せき;いし
1943;貝;Shellfish;None;かい
1944;見;See;けん;み
1945;申;Say Humbly;しん;もう
1946;休;Rest;きゅう;やす
1947;赤;Red;せき;あか
1948;先;Previous;せん;さき, まず
1949;皿;Plate;None;さら
1950;去;Past;きょ, こ;さ
1951;他;Other;た;ほか
1952;号;Number;ごう;None
1953;不;Not;ふ;None
1954;名;Name;めい, みょう;な
1955;主;Master;しゅ;おも, ぬし
1956;男;Man;だん, なん;おとこ
1957;字;Letter;じ;None
1958;虫;Insect;ちゅう, き;むし
1959;氷;Ice;ひょう;こおり
1960;百;Hundred;ひゃく;もも
1961;打;Hit;だ;う, ぶ
1962;足;Foot;そく;あし, た
1963;花;Flower;か, け;はな
1964;平;Flat;へい, ひょう, びょう;たいら, ひら
1965;気;Energy;き, け;いき
1966;早;Early;そう;はや, さ
1967;耳;Ear;じ;みみ
1968;仕;Doing;し;つか
1969;写;Copy;しゃ;うつ
1970;央;Center;おう;None
1971;車;Car;しゃ;くるま
1972;竹;Bamboo;None;たけ
1973;冬;Winter;とう;ふゆ
1974;広;Wide;こう;ひろ
1975;万;Ten Thousand;まん, ばん;None
1976;用;Task;よう;もち
1977;止;Stop;し;と, や
1978;引;Pull;いん;ひ
1979;公;Public;こう;None
1980;分;Part;ぶん, ふん, ぶ;わ
1981;外;Outside;がい;そと, はず
1982;元;Origin;げん, がん;もと
1983;古;Old;こ;ふる
1984;今;Now;こん;いま
1985;北;North;ほく;きた
1986;午;Noon;ご;None
1987;母;Mother;ぼ;はは
1988;台;Machine;だい, たい;None
1989;生;Life;せい, しょう;い, なま, う, は, き
1990;内;Inside;ない;うち
1991;心;Heart;しん;こころ
1992;半;Half;はん;なか
1993;毛;Fur;もう;け
1994;友;Friend;ゆう;とも
1995;少;Few;しょう;すこ
1996;父;Father;ふ;ちち
1997;太;Fat;たい, た;ふと
1998;戸;Door;こ;と
1999;方;Direction;ほう;かた
2000;切;Cut;せつ;き
2001;牛;Cow;ぎゅう;うし
2002;市;City;し;いち
2003;矢;Arrow;し;や
2004;円;Yen;えん;まる
2005;六;Six;ろく;む
2006;右;Right;ゆう, う;みぎ
2007;田;Rice Paddy;でん;た
2008;々;Repeater;None;のま
2009;月;Moon;げつ, がつ;つき
2010;中;Middle;ちゅう;なか
2011;左;Left;さ;ひだり
2012;王;King;おう;None
2013;天;Heaven;てん;あま
2014;手;Hand;しゅ, ず;て
2015;才;Genius;さい;None
2016;四;Four;し;よん, よ
2017;五;Five;ご;いつ
2018;火;Fire;か;ひ, ほ
2019;了;Finish;りょう;None
2020;目;Eye;もく;め
2021;出;Exit;しゅつ;で, だ
2022;夕;Evening;せき;ゆう
2023;犬;Dog;けん;いぬ
2024;土;Dirt;ど, と;つち
2025;正;Correct;せい, しょう;ただ, まさ
2026;丸;Circle;がん;まる
2027;子;Child;し, す;こ
2028;本;Book;ほん;もと
2029;玉;Ball;ぎょく;たま
2030;又;Again;None;また
2031;女;Woman;じょ;おんな, め
2032;二;Two;に;ふた
2033;三;Three;さん;み
2034;十;Ten;じゅう;とお
2035;七;Seven;しち;なな, なの
2036;川;River;せん;かわ
2037;力;Power;りょく, りき;ちから
2038;人;Person;にん, じん;ひと, と
2039;一;One;いち, いつ;ひと
2040;九;Nine;く, きゅう;ここの
2041;口;Mouth;こう, く;くち
2042;山;Mountain;さん;やま
2043;入;Enter;にゅう;はい, い
2044;八;Eight;はち;や, よう
2045;工;Construction;こう, く;None
2046;大;Big;たい, だい;おお
2047;下;Below;か, げ;した, さ, くだ, お
