id;character;meaning;on;kun
297;第;Ordinal Number Prefix;だい;None
298;動;Move;どう;うご
299;都;Metropolis;と, つ;みやこ
300;商;Merchandise;しょう;あきな
301;員;Member;いん;None
302;童;Juvenile;どう;None
303;島;Island;とう;しま
304;僕;I;ぼく;None
305;湯;Hot Water;とう;ゆ
306;暑;Hot;しょ;あつ
307;港;Harbor;こう;みなと
308;庭;Garden;てい;にわ
309;階;Floor;かい;None
310;野;Field;や;の
311;祭;Festival;さい;まつり, まつ
312;消;Extinguish;しょう;き, け
313;勉;Exertion;べん;None
314;倍;Double;ばい;None
315;深;Deep;しん;ふか
316;寒;Cold;かん;さむ
317;登;Climb;とう, と;のぼ
318;章;Chapter;しょう;None
319;息;Breath;そく;いき
320;悪;Bad;あく, お;わる
321;働;Work;どう;はたら
322;洋;Western Style;よう;None
323;波;Wave;は;なみ
324;戦;War;せん;たたか
325;伝;Transmit;でん;つた, つて
326;努;Toil;ど;つと
327;共;Together;きょう;とも
328;特;Special;とく;None
329;別;Separate;べつ;わか
330;秒;Second;びょう;None
331;放;Release;ほう;はな, ほう
332;仲;Relationship;ちゅう;なか
333;位;Rank;い;くらい
334;利;Profit;り;き
335;注;Pour;ちゅう;そそ, さ, つ
336;拾;Pick Up;None;ひろ
337;令;Orders;れい;None
338;育;Nurture;いく;そだ, はぐく
339;低;Low;てい;ひく
340;昔;Long Ago;None;むかし
341;好;Like;こう;す, この
342;級;Level;きゅう;None
343;労;Labor;ろう;いたわ
344;意;Idea;い;None
345;良;Good;りょう;よ, い
346;神;God;しん;かみ
347;追;Follow;つい;お
348;味;Flavor;み;あじ
349;初;First;しょ;はじ, はつ, そ, ぞ
350;指;Finger;し;ゆび, さ
351;命;Fate;めい, みょう;いのち
352;老;Elderly;ろう;None
353;便;Convenience;べん, びん;たよ
354;争;Conflict;そう;あらそ
355;競;Compete;きょう;きそ
356;岸;Coast;がん;きし
357;成;Become;せい;な
358;功;Achievement;こう;None
359;符;Token;ふ;None
360;渇;Thirst;かつ;かわ
361;翌;The Following;よく;None
362;適;Suitable;てき;None
363;購;Subscription;こう;None
364;盗;Steal;とう;ぬす
365;匂;Scent;None;にお
366;乏;Scarce;ぼう;とぼ
367;押;Push;おう;お
368;延;Prolong;えん;のば, の
369;貧;Poor;びん, ひん;まず
370;快;Pleasant;かい;こころよ
371;遊;Play;ゆう;あそ
372;枕;Pillow;しん;まくら
373;撮;Photograph;さつ;と
374;懐;Nostalgia;かい;なつ
375;婚;Marriage;こん;None
376;覧;Look At;らん;None
377;系;Lineage;けい;None
378;漏;Leak;ろう;も
379;照;Illuminate;しょう;て
380;越;Go Beyond;えつ;こ
381;浮;Float;ふ;う, うわ
382;旗;Flag;き;はた
383;版;Edition;はん;None
384;預;Deposit;よ;あず
385;飾;Decorate;しょく;かざ
386;騒;Boisterous;そう;さわ
387;背;Back;はい;せ, そむ
388;魅;Alluring;み;None
389;更;Again;こう;さら, ふ
390;烈;Violent;れつ;はげ
391;促;Urge;そく;うなが
392;閣;The Cabinet;かく;None
393;緊;Tense;きん;None
394;詰;Stuffed;きつ, きち;つ, づ
395;街;Street;がい, かい;まち
396;催;Sponsor;さい;もよお
397;臣;Servant;しん, じん;None
398;索;Search;さく;None
399;怖;Scary;ふ;こわ
400;請;Request;せい, しん, しょう;う, こ
401;宗;Religion;しゅう;None
402;監;Oversee;かん;None
403;航;Navigation;こう;None
404;雄;Male;ゆう;おす
405;韓;Korea;かん;None
406;江;Inlet;こう;え
407;猛;Fierce;もう;None
408;恐;Fear;きょう;おそ, こわ
409;欧;Europe;おう;None
410;乾;Dry;かん;かわ, ほ
411;診;Diagnose;しん;み
412;娘;Daughter;None;むすめ
413;杯;Cup Of Liquid;はい;None
414;僚;Colleague;りょう;None
415;督;Coach;とく;None
416;壊;Break;かい;こわ
417;板;Board;はん;いた
418;宴;Banquet;えん;うたげ
419;寄;Approach;き;よ
420;添;Append;てん;そ
421;積;Accumulate;せき;つ
422;略;Abbreviation;りゃく;None
423;婦;Wife;ふ;None
424;傘;Umbrella;さん;かさ
425;券;Ticket;けん;None
426;妙;Strange;みょう;たえ
427;庫;Storage;こ;くら
428;隊;Squad;たい;None
429;精;Spirit;せい;None
430;移;Shift;い;うつ
431;逆;Reverse;ぎゃく;さか
432;録;Record;ろく;None
433;潔;Pure;けつ;いさぎよ
434;清;Pure;せい, しょう, しん;きよ
435;衆;Populace;しゅう;None
436;奇;Odd;き;None
437;麗;Lovely;れい;うるわ
438;並;Line Up;へい;なら, なみ
439;幼;Infancy;よう;おさな
440;稚;Immature;ち;None
441;巨;Giant;きょ;None
442;凍;Frozen;とう;こお, こご
443;絶;Extinction;ぜつ;た
444;程;Extent;てい;ほど
445;博;Exhibition;はく, ばく;None
446;修;Discipline;しゅう;おさ
447;微;Delicate;び;かす
448;処;Deal With;しょ;ところ
